Title,"Image Link",Type,Seats,Speed,Range,"Price Per Hour"
"Citation III",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Citation-III-PrivateFly-AA9880.jpg,MediumJets,8,"405 kts","1800 nm",2741
"Falcon 20 / 200",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Falcon-20-200-PrivateFly-AA9867.jpg,MediumJets,9,"405 kts","2310 nm",3400
"Citation VI",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-C650-Citation-VI-PrivateFly-AA1264.jpg,MediumJets,8,"407 kts","1800 nm",3200
"Citation VII",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-C650-Citation-VII-PrivateFly-AA1204.jpg,MediumJets,8,"410 kts","1700 nm",3442
"1124 Westwind",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/1124-Westwind-PrivateFly-AB1133.jpg,MediumJets,9,"415 kts","1800 nm",3500
"Citation XL",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Citation-XL-PrivateFly-AA9904.jpg,MediumJets,8,"420 kts","1800 nm",2684
"Falcon 50 / 50EX",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Falcon-50-50EX-PrivateFly-AA9718.jpg,MediumJets,9,"420 kts","3223 nm",4250
"Citation XLS",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Citation-XLS-PrivateFly-AA9899.jpg,MediumJets,8,"420 kts","1850 nm",2684
"Learjet 40 / 40XR",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Learjet-40-40XR-PrivateFly-AB1123.jpg,MediumJets,6,"425 kts","1824 nm",2355
"1123 Commodore",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/1123-Commodore-PrivateFly-AB1103.jpg,MediumJets,7,"427 kts","1390 nm",3500
"Citation Sovereign",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Citation-Sovereign-PrivateFly-AA9876.jpg,MediumJets,8,"428 kts","2643 nm",3533
"1125 Astra",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/1125-Astra-PrivateFly-AA9885.jpg,MediumJets,8,"430 kts","1900 nm",2977
BAe125-700,//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/BA125-700-PrivateFly-AA1216.jpg,MediumJets,8,"430 kts","2400 nm",3200
"Citation XLS+",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Citation-XLS-Plus-PrivateFly-AB8857.jpg,MediumJets,9,"430 kts","2000 nm",2918
