Location,Airport,1,2,3,4,5,6,7,8,9,10,11,12
Argentina,COR,3.177955,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,CPC,3.47078,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,CRD,3.53328,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,CTC,3.47078,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,DOT,3.33228,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,EPA,3.39478,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,EQS,3.47078,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,EZE,3.002985,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,FDO,3.40728,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,FMA,3.73578,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,FTE,3.7205,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,GPO,3.43225,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,IGR,3.48578,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,IRJ,3.47078,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,JNI,3.3861,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,JUJ,3.58328,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,LGS,3.47078,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,LPG,3.33228,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,LUQ,3.69725,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,MDZ,3.48578,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,NQN,3.47078,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,PMY,3.47078,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,PRA,3.3861,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,PSS,3.73578,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,QCD,3.66289,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,RCQ,3.43225,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,RCU,3.43225,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,REL,3.73578,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,RES,3.73578,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,RGA,3.5055,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,RGL,3.568,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,ROS,3.34728,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,RSA,3.43225,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,SDE,3.53328,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,SFN,3.3861,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,SLA,3.58578,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,TDL,3.3861,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,TTG,3.47078,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,TUC,3.47078,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,UAQ,3.52078,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,USH,3.5055,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,VDM,3.43225,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Argentina,VME,3.43225,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Armenia,EVN,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",3.42594
Armenia,LWN,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",3.42594
Aruba,AUA,4.38919,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,ABX,4.798895,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,ACF,4.52875,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,ADL,3.280975,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,ARM,4.86839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,ASP,5.11589,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,AVV,4.66839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,AYQ,5.59839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,BME,5.0384,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,BNE,3.144365,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,BNK,4.96839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,BRK,5.18839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,BWB,5.36839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,BWT,5.48092,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,BWU,4.16498,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,CBR,4.37954,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,CFS,5.00836,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,CNS,3.987865,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,CPD,5.25839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,CTL,5.11839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,CVQ,4.65804,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,DBO,5.05839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,DRW,3.84139,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,EMD,5.00839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,GET,4.797515,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,GFF,4.71384,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,GLT,5.22339,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,HBA,5.792475,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,HTI,4.94839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,HVB,4.94271,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,ISA,5.42339,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,JAB,5.05839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,JAD,4.79839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,KNX,5.23839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,KTA,5.64339,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,KTR,5.36339,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,LEA,5.237685,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,LST,4.96857,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,LSY,5.11742,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,MBW,4.58302,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,MCY,4.79839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,MEB,4.130485,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,MEL,3.56644,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,MKY,4.95839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,MOV,5.04839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,MQL,5.077935,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,NTL,3.99059,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,NTN,5.239565,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,OOL,3.5146933333333,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,PBO,5.49839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
